Week,daily covid cases: (Worldwide)
2020-12-06,57
2020-12-13,57
2020-12-20,56
2020-12-27,70
2021-01-03,75
2021-01-10,76
2021-01-17,57
2021-01-24,65
2021-01-31,48
2021-02-07,51
2021-02-14,54
2021-02-21,43
2021-02-28,51
2021-03-07,54
2021-03-14,53
2021-03-21,57
2021-03-28,64
2021-04-04,74
2021-04-11,85
2021-04-18,90
2021-04-25,97
2021-05-02,83
2021-05-09,89
2021-05-16,77
2021-05-23,79
2021-05-30,84
2021-06-06,66
2021-06-13,72
2021-06-20,69
2021-06-27,69
2021-07-04,74
2021-07-11,92
2021-07-18,91
2021-07-25,100
2021-08-01,95
2021-08-08,86
2021-08-15,88
2021-08-22,94
2021-08-29,77
2021-09-05,72
2021-09-12,65
2021-09-19,54
2021-09-26,58
2021-10-03,48
2021-10-10,44
2021-10-17,55
2021-10-24,51
2021-10-31,48
2021-11-07,53
2021-11-14,49
2021-11-21,44
2021-11-28,54
